uId,name,category,cx,cy,vertices
LS_CITYHALL,Мэрия Лос-Сантос,green_zone,-556.8057142857143,-163.30285714285714,21
FIB,Офис FIB,green_zone,149.44199999999998,-719.052,5
WEAZELNEWS,Weazel News,green_zone,-564.785,-916.4783333333334,12
LSPD,LSPD,green_zone,441.94090909090914,-1084.2763636363636,11
LSSD,LSSD,green_zone,-425.60600000000005,6012.124,5
LS_EMS,Больница Лос-Сантос,green_zone,333.77125,-1378.478125,16
SS_EMS,Больница Сэнди-Шорс,green_zone,1838.95,3675.568,5
SASPA_PARKING,Федеральная тюрьма,green_zone,1798.5664864864866,2614.441891891892,37
MINE,Шахта,green_zone,2948.1879999999996,2791.5099999999998,5
CONSTRUCTION,Стройка,green_zone,82.22444444444444,-399.35,9
PORT,Порт,green_zone,-419.36333333333334,-2724.307777777778,9
TAXI1,Таксопарк 1,green_zone,908.4779999999998,-171.01999999999998,5
TAXI2,Таксопарк 2,green_zone,-1535.8799999999999,-401.46,5
COLLECTOR1,Стоянка инкассаторов 1,green_zone,124.25166666666667,-1068.1033333333332,6
COLLECTOR2,Стоянка инкассаторов 2,green_zone,-1188.4180000000001,-1489.298,5
AUTOMECH1,Стоянка автомехаников 1,green_zone,-835.208,-762.5440000000001,5
AUTOMECH2,Стоянка автомехаников 2,green_zone,-32.21,6445.822,5
PARKFINE1,Штрафстоянка 1,green_zone,480.462,-55.592,5
PARKFINE2,Штрафстоянка 2,green_zone,19.136666666666667,6343.91,6
PARKING1,Стоянка 1,green_zone,-1198.972,-671.588,5
PARKING2,Стоянка 2,green_zone,-157.70000000000002,-2095.1423529411763,17
PARKING3,Стоянка 3,green_zone,-650.5633333333333,-2172.351111111111,9
GANGROBZONE,Выдача ограблений,green_zone,1473.28,6364.584,5
QUADRO,Аренда квадроциклов,green_zone,-767.1075,5568.81625,8
SMUGGLEGRAPESEED,Контрабанда - Грейпсид,green_zone,1643.8919999999998,4834.038,5
SMUGGLEFARM,Контрабанда - Ферма,green_zone,2588.248,4684.008,5
SMUGGLEDESERT,Контрабанда - Гранд-Сенора,green_zone,474.384,3547.8300000000004,5
SMUGGLESANSHAN,Контрабанда - Сан-Шаньский хребет,green_zone,2984.344,3485.868,5
SMUGGLEWINDFARM,Контрабанда - Ветряная ферма,green_zone,2541.3360000000002,2592.05,5
SMUGGLESENORA,Контрабанда - Гранд-Сенора,green_zone,202.462,2448.442,5
SMUGGLEELYSIAN,Контрабанда - Элизиан-Айленд,green_zone,-447.4266666666667,-2187.6783333333333,6
SMUGGLEELBURRO,Контрабанда - Эль-Бурро-Хайтс,green_zone,1625.325,-2378.02,6
DIVING,Дайвинг и водохранилище,green_zone,1813.27125,133.66062499999998,16
SECRETSHOP,Secret Shop,green_zone,1088.9885714285715,-780.8000000000001,7
BAGSHOP,Магазин сумок,green_zone,733.9242857142857,-974.6714285714286,7
POST_PB,Почта Палето-Бэй,green_zone,-421.3925,6151.24875,8
POST_LS,Почта Лос-Сантос,green_zone,71.15249999999999,134.1925,12
POST_SS,Почта Сэнди,green_zone,2013.83,3729.4080000000004,5
VELORENT,Аренда велосипедов на пляже,green_zone,-1267.386,-1480.3700000000001,5
AUTORENTLS,Аренда авто Вайнвуд,green_zone,-520.2814285714286,47.692857142857136,7
AMPHI1,Амфитеатр 1,green_zone,674.5830769230769,578.6969230769231,13
AMPHI2,Амфитеатр 2,green_zone,177.27666666666667,1165.735,12
LS_CHAPEL,Церковь Лос-Сантос,green_zone,-789.8021428571428,38.347857142857144,14
PB_CHAPEL,Церковь Палето-Бэй,green_zone,-329.134,6165.728,5
FISHSHOPRENTSS,Магазин рыболовных снастей,green_zone,1519.8836363636365,3812.8954545454544,11
FARM1ORANGE1,Ферма,green_zone,2347.88,5002.836,5
FARM2MAIN,Ферма,green_zone,2279.28,4883.681666666666,6
FARM3ORANGE2,Ферма,green_zone,2124.5455555555554,4792.093333333334,9
FARM4FIELDS,Ферма,green_zone,2172.773,5122.955,10
FISHBUYER1,Скупщик рыбы 1,green_zone,1552.736,2183.196,5
FISHBUYER2,Скупщик рыбы 2,green_zone,-256.68,2200.29,5
OFFICE_MBB,Maze Bank Building,green_zone,-72.608,-850.966,5
OFFICE_ARC,Arcadius,green_zone,-146.342,-598.8059999999999,5
OFFICE_MBW,Maze Bank West,green_zone,-1381.028,-490.672,5
OFFICE_LOM,Lom Bank,green_zone,-1590.146,-573.434,5
OFFICE_RHBC,Rockford Hills BC,green_zone,-1042.74,-430.47,9
OFFICE_TBBC,Total Bankers BC,green_zone,-565.81,-711.3025,8
STARTING_ZONE1,Начальная зона,green_zone,-172.888,-778.442,5
STARTING_ZONE2,Начальная зона,green_zone,-1019.7719999999999,-1510.982,5
FISHINGPIERS1,Рыболовный пирс,green_zone,-1806.4916666666668,-1188.055,12
FISHINGPIERS2,Рыболовный пирс,green_zone,-3300.411176470588,966.3070588235295,17
FISHINGPIERS3,Зона рыбалки,green_zone,,,0
PIERSDELPERRO,Пирс Дель-Перро,green_zone,-1646.3341176470587,-973.0405882352941,17
GYM1BEACH,Спортзал,green_zone,-1212.5520000000001,-1569.46,5
AUCTIONHOUSE,Аукцион,green_zone,-552.1220000000001,-619.734,5
NCLUB_RM,Vanilla Unicorn,green_zone,122.78666666666668,-1305.3058333333333,12
NCLUB_LCN,Bahama Mamas,green_zone,-1383.28,-595.888,5
NCLUB_AM,Split Sides West,green_zone,-442.22200000000004,270.12800000000004,5
NCLUB_MM,Galaxy,green_zone,-13.715,237.745,8
NCLUB_YAK,Orient,green_zone,312.962,223.542,5
BUSPARK1,Автобусная станция 1,green_zone,-789.8766666666667,-2386.06,9
BUSPARK2,Автобусная станция 2,green_zone,-2175.098,-392.101,10
REALESTATE,Риелторское агентство,green_zone,-1036.3125,-1393.065,16
HANDLINGSHOP,Автомастерская,green_zone,112.374,6621.988,5
BOATSHOP,Магазин лодок,green_zone,-797.6220000000001,-1349.056,5
CLUB_LOSTMC,Мотоклуб Lost,green_zone,976.835,-126.63333333333333,6
CLUB_AODMC,Мотоклуб Angels of Death,green_zone,1992.012,3058.39,5
CLUB_BANDIDOSMC,Мотоклуб Bandidos,green_zone,-2208.754545454545,4261.672727272728,11
TK,Тренировочный комплекс,green_zone,604.896,-431.41400000000004,5
SMUGGLEOCEAN,Контрабанда - Паломино,green_zone,2805.406,-752.598,5
FIRESTATION1,Пожарная станция 1,green_zone,213.26666666666665,-1656.1283333333333,6
FIRESTATION2,Пожарная станция 2,green_zone,1211.4214285714286,-1466.8771428571429,7
FIRESTATION3,Пожарная станция 3,green_zone,1694.882,3594.532,5
FIRESTATION4,Пожарная станция 4,green_zone,-379.01142857142855,6109.737142857143,7
DRIVERSCHOOL,Автошкола,green_zone,206.27142857142857,376.7271428571429,7
FURNSHOP,Магазин мебели,green_zone,2735.8016666666667,3483.2766666666666,6
HUNTEND,Скупщик шкур,green_zone,,,0
CONTRACTLWMSTART,Электростанция,green_zone,-24.37285714285714,-2533.2057142857147,7
MBA,Maze Bank Arena,green_zone,-279.2296774193548,-1981.3493548387098,31
PLATINUMAUTO,Platinum автосалон,green_zone,-200.094,-1167.81,5
PLATINUMCLOTHES,Магазин одежды Люкс,green_zone,-566.512,-397.73400000000004,5
JEWELRYSHOP,Ювелирный магазин,green_zone,-622.862,-230.92,5
TREASUREBUYER,Скупщик найденных ценностей,green_zone,-1459.719,-413.85,10
BANK_PALETO,Blaine County Savings Bank,green_zone,-116.971,6461.243,10
BANK_LS,Public Deposit Bank,green_zone,248.38400000000001,204.621,10
BANK1,Fleeca Bank,green_zone,150.30142857142854,-1036.9957142857143,7
BANK2,Fleeca Bank,green_zone,-1207.75,-332.314,5
BANK4,Fleeca Bank,green_zone,308.716,-287.264,5
BANK5,Fleeca Bank,green_zone,-351.48400000000004,-49.766000000000005,5
BANK6,Fleeca Bank,green_zone,-2956.7239999999997,482.13,5
PRODUCT_SHOP_3,24/7 #3,green_zone,27.612000000000002,-1342.122,5
PRODUCT_SHOP_4,24/7 #4,green_zone,-1221.654,-907.836,5
PRODUCT_SHOP_5,24/7 #5,green_zone,375.662,325.78200000000004,5
PRODUCT_SHOP_8,24/7 #8,green_zone,1137.214,-988.36,5
PRODUCT_SHOP_11,24/7 #11,green_zone,-3039.406,587.1980000000001,5
PRODUCT_SHOP_12,24/7 #12,green_zone,-3243.194,1001.54,5
PRODUCT_SHOP_13,24/7 #13,green_zone,545.55,2671.1940000000004,5
PRODUCT_SHOP_16,24/7 #16,green_zone,1694.8966666666668,4934.171666666666,6
PRODUCT_SHOP_18,24/7 #18,green_zone,-2970.364,389.294,5
PRODUCT_SHOP_19,24/7 #19,green_zone,-1488.2442857142855,-378.75,7
