poly_id,ring,cx,cy,vertices
0,0,5278.036144578313,-5696.1325301204815,83
1,0,4893.234782608695,-5499.260869565217,115
2,0,4849.555555555556,-5022.222222222223,45
3,0,4588.419354838709,-4865.064516129032,31
4,0,4800.910828025478,-4526.987261146497,157
5,0,4272.80303030303,-4434.121212121212,66
6,0,1851.7931034482758,-2654.3793103448274,29
7,0,2119.935483870968,-2306.064516129032,31
8,0,2079.4761904761904,-2188.6428571428573,42
9,0,2469.6688741721855,-1861.0,151
10,0,2010.2558139534883,-1986.8837209302326,43
11,0,-2073.4444444444443,2578.853968253968,315
11,1,-2180.5833333333335,2579.9166666666665,12
11,2,-2327.516129032258,2603.8709677419356,31
11,3,-1749.1304347826087,2602.8695652173915,23
12,0,-1261.0652173913043,2623.2391304347825,46
13,0,-1253.752808988764,2827.303370786517,89
14,0,-1007.7714285714286,2780.2285714285713,35
15,0,-780.7380952380952,2882.75,84
16,0,-107.1640625,3104.3828125,128
17,0,-502.44,3030.72,25
18,0,-736.1960784313726,5035.323529411765,102
19,0,1779.0506329113923,6583.202531645569,79
