id,x,y,label,category,group,blipId,link
atm_1,-28.02,-724.54,1,atm,atm,116,
atm_2,-30.3,-723.71,2,atm,atm,116,
atm_3,119.13,-883.75,3,atm,atm,116,
atm_4,147.69,-1035.73,4,atm,atm,116,
atm_5,146.01,-1035.12,5,atm,atm,116,
atm_6,236.96,218.71,6,atm,atm,116,
atm_7,237.82,216.84,7,atm,atm,116,
atm_8,285.43,143.4,8,atm,atm,116,
atm_9,527.26,-160.68,9,atm,atm,116,
atm_10,114.38,-776.42,10,atm,atm,116,
atm_11,111.26,-775.33,11,atm,atm,116,
atm_12,112.76,-819.36,12,atm,atm,116,
atm_13,5.18,-919.82,13,atm,atm,116,
atm_14,-203.77,-861.35,14,atm,atm,116,
atm_15,-303.28,-829.73,15,atm,atm,116,
atm_16,-301.74,-830.05,16,atm,atm,116,
atm_17,-258.78,-723.38,17,atm,atm,116,
atm_18,-256.19,-715.96,18,atm,atm,116,
atm_19,-254.27,-692.44,19,atm,atm,116,
atm_20,-611.87,-704.76,20,atm,atm,116,
atm_21,-614.55,-704.84,21,atm,atm,116,
atm_22,-618.32,-706.91,22,atm,atm,116,
atm_23,-618.26,-708.86,23,atm,atm,116,
atm_24,-1315.79,-834.79,24,atm,atm,116,
atm_25,-1314.82,-836.06,25,atm,atm,116,
atm_26,-3241.15,997.49,26,atm,atm,116,
atm_27,-3144.26,1127.62,27,atm,atm,116,
atm_28,-95.5,6457.21,28,atm,atm,116,
atm_29,-97.21,6455.42,29,atm,atm,116,
atm_30,155.87,6642.79,30,atm,atm,116,
atm_31,174.17,6637.83,31,atm,atm,116,
atm_32,-717.53,-915.74,32,atm,atm,116,
atm_33,-596.1,-1161.59,33,atm,atm,116,
atm_34,-594.55,-1161.53,34,atm,atm,116,
atm_35,33.22,-1348.02,35,atm,atm,116,
atm_36,380.84,323.55,36,atm,atm,116,
atm_37,-1827.16,784.9,37,atm,atm,116,
atm_38,1153.83,-326.76,38,atm,atm,116,
atm_39,2683.04,3286.63,39,atm,atm,116,
atm_40,2558.25,389.5,40,atm,atm,116,
atm_41,-3040.88,593.05,41,atm,atm,116,
atm_42,-3240.77,1008.6,42,atm,atm,116,
atm_43,540.28,2670.97,43,atm,atm,116,
atm_44,1171.59,2702.28,44,atm,atm,116,
atm_45,1172.51,2702.36,45,atm,atm,116,
atm_46,-717.52,-915.71,46,atm,atm,116,
atm_47,-56.86,-1752.19,47,atm,atm,116,
atm_48,1077.74,-776.19,48,atm,atm,116,
atm_49,-537.8,-854.25,49,atm,atm,116,
atm_50,1735.29,6410.71,50,atm,atm,116,
atm_51,1701.35,6426.42,51,atm,atm,116,
atm_52,1702.99,4933.6,52,atm,atm,116,
atm_53,1968.08,3743.6,53,atm,atm,116,
atm_54,-710.06,-818.99,54,atm,atm,116,
atm_55,-712.93,-819,55,atm,atm,116,
atm_56,-1205.77,-324.82,56,atm,atm,116,
atm_57,-1204.95,-326.23,57,atm,atm,116,
atm_58,1686.84,4815.83,58,atm,atm,116,
atm_59,-1091.47,2708.6,59,atm,atm,116,
atm_60,1822.65,3683.06,60,atm,atm,116,
atm_61,-1415.94,-212.03,61,atm,atm,116,
atm_62,-1430.06,-211.11,62,atm,atm,116,
atm_63,-1570.19,-546.65,63,atm,atm,116,
atm_64,-1571.11,-547.33,64,atm,atm,116,
atm_65,296.39,-894.16,65,atm,atm,116,
atm_66,295.77,-896.12,66,atm,atm,116,
atm_67,89.66,2.39,67,atm,atm,116,
atm_68,230.9,367.54,68,atm,atm,116,
atm_69,228.22,338.37,69,atm,atm,116,
atm_70,-846.21,-341.25,70,atm,atm,116,
atm_71,-846.75,-340.17,71,atm,atm,116,
atm_72,158.54,234.15,72,atm,atm,116,
atm_73,-660.79,-853.83,73,atm,atm,116,
atm_74,-57.75,-92.67,74,atm,atm,116,
atm_75,288.58,-1282.33,75,atm,atm,116,
atm_76,-2293.85,354.86,76,atm,atm,116,
atm_77,-2294.67,356.42,77,atm,atm,116,
atm_78,-2295.36,358.11,78,atm,atm,116,
atm_79,-1305.27,-706.41,79,atm,atm,116,
atm_80,-526.52,-1222.92,80,atm,atm,116,
atm_81,2558.76,351,81,atm,atm,116,
atm_82,-2072.41,-317.3,82,atm,atm,116,
atm_83,-386.8,6046.02,83,atm,atm,116,
atm_84,-2975.11,380.06,84,atm,atm,116,
atm_85,-2956.9,487.73,85,atm,atm,116,
atm_86,-2958.93,487.81,86,atm,atm,116,
atm_87,-1109.76,-1690.7,87,atm,atm,116,
atm_88,289.05,-1256.8,88,atm,atm,116,
atm_89,-132.96,6366.57,89,atm,atm,116,
atm_90,-283,6226.12,90,atm,atm,116,
atm_91,129.18,-1291.24,91,atm,atm,116,
atm_92,130.1,-1292.64,92,atm,atm,116,
atm_93,-1390.94,-590.37,93,atm,atm,116,
atm_94,24.41,-946.03,94,atm,atm,116,
atm_95,1138.33,-468.95,95,atm,atm,116,
atm_96,-721.05,-415.49,96,atm,atm,116,
atm_97,-866.59,-187.7,97,atm,atm,116,
atm_98,-867.64,-186.05,98,atm,atm,116,
atm_99,-821.7,-1082.04,99,atm,atm,116,
atm_100,-165.06,232.81,100,atm,atm,116,
atm_101,-165.1,234.75,101,atm,atm,116,
atm_102,356.91,173.47,102,atm,atm,116,
atm_103,1166.93,-456.15,103,atm,atm,116,
atm_104,-1409.69,-100.49,104,atm,atm,116,
atm_105,-1410.31,-98.73,105,atm,atm,116,
atm_106,2564.53,2584.76,106,atm,atm,116,
atm_107,-261.7,-2012.54,107,atm,atm,116,
atm_108,-272.9,-2024.73,108,atm,atm,116,
atm_109,357.66,-1399.37,109,atm,atm,116,
atm_110,-1168.7,-699.48,110,atm,atm,116,
atm_111,-612.14,-2248.57,111,atm,atm,116,
atm_112,-168.32,-2146.41,112,atm,atm,116,
atm_113,1844.24,2587.39,113,atm,atm,116,
shop_247_1,-706.06,-913.48,1,shop,business,11,/docs/businesses/product-shops
shop_247_2,-46.77,-1757.94,2,shop,business,11,/docs/businesses/product-shops
shop_247_3,24.47,-1347.32,3,shop,business,11,/docs/businesses/product-shops
shop_247_4,-1221.95,-908.36,4,shop,business,11,/docs/businesses/product-shops
shop_247_5,372.57,326.43,5,shop,business,11,/docs/businesses/product-shops
shop_247_6,-1820.14,794.16,6,shop,business,11,/docs/businesses/product-shops
shop_247_7,1164.76,-322.79,7,shop,business,11,/docs/businesses/product-shops
