poly_id,ring,cx,cy,vertices
0,0,4817.974683544304,-5728.398734177215,158
1,0,5522.735849056604,-5368.377358490566,53
2,0,5071.327868852459,-4783.016393442623,61
3,0,4254.495412844037,-4435.412844036698,109
4,0,4979.851851851852,-4464.7962962962965,54
5,0,4701.069767441861,-4388.930232558139,86
6,0,1261.953125,-2691.0,128
7,0,1758.8536585365853,-2707.121951219512,41
8,0,-1405.157894736842,-1455.8479532163742,171
9,0,-1898.583850931677,-739.111801242236,161
10,0,-2281.7741935483873,-382.7096774193548,31
11,0,-2667.2585034013605,-156.40816326530611,147
12,0,2932.24,-165.32,25
13,0,2851.6,-75.52,25
14,0,-3087.74358974359,108.82051282051282,39
15,0,2871.5616438356165,303.8082191780822,73
16,0,-3153.08,280.68,25
17,0,-3100.2,435.2,25
18,0,-3085.064516129032,577.4193548387096,31
19,0,2920.2156862745096,665.5686274509804,51
20,0,-3198.7719298245615,800.280701754386,57
21,0,-3282.32,1007.24,25
22,0,-3252.553191489362,1203.0425531914893,47
23,0,-3141.3142857142857,1359.0857142857142,35
24,0,-2637.266666666667,2463.4190476190474,105
25,0,-2092.439024390244,2514.5365853658536,41
26,0,-2251.1428571428573,2540.2285714285713,35
27,0,-2475.777202072539,2777.60103626943,193
28,0,-2557.6666666666665,3878.9747126436782,435
29,0,1937.2758620689656,3404.1494252873563,87
30,0,-1107.5757575757575,4920.272727272727,33
31,0,-1728.5483870967741,4942.451612903225,31
32,0,-1130.063829787234,5439.670212765957,94
33,0,-806.7205882352941,5812.294117647059,68
34,0,-672.2333333333333,6106.466666666666,60
35,0,-946.1951219512196,6169.268292682927,41
36,0,-382.25373134328356,6486.925373134329,134
37,0,692.55078125,6730.296875,256
38,0,-5.534883720930233,6857.6511627906975,43
